date;btc;eth;ltc;xrp;bric;sp500;eurostoxx;nasdaq;bond_europe;bond_us;bond_eur;eur;gbp;chf;jpy;gold;wti;grain;metal;vix
24/05/2019;0.0133;0.0142;0.1135;0.0087;0.0034;0.0014;0.007;0.0011;0.0007;-0.0017;0.0012;0.002;0.0045;0.0015;0.0028;0.0012;0.0124;0.0313;0.0081;-0.0653
23/05/2019;0.0259;0.0052;0.0109;0.0121;-0.0178;-0.012;-0.0177;-0.0159;0.0017;0.0045;0.0007;0.0028;-0.0006;0.0063;0.0068;0.0079;-0.0588;-0.0099;0.0025;0.1373
22/05/2019;-0.0362;-0.0421;-0.0367;-0.0542;-0.0019;-0.0028;0.0001;-0.0045;0.0003;0.0014;0.0006;-0.001;-0.0032;0.0014;0.0013;-0.0011;-0.0252;-0.0018;-0.0101;-0.0135
21/05/2019;-0.0019;0.0133;0.0002;-0.001;0.0086;0.0085;0.005;0.0108;-0.0006;-0.0006;-0.0006;-0.0004;-0.0016;-0.0025;-0.004;-0.0025;-0.0017;0.0033;-0.0018;-0.0871
20/05/2019;0.0829;0.0327;0.0276;0.0301;-0.0045;-0.0068;-0.0164;-0.0147;-0.0013;-0.001;-0.0011;0.0007;0.0002;0.0024;0.0001;0.0002;0.0054;0.0192;-0.0116;0.0217
17/05/2019;-0.0711;-0.0798;-0.0714;-0.0832;-0.0169;-0.0059;-0.0038;-0.0104;0.0004;0.0006;0.0006;-0.0014;-0.0058;-0.001;-0.0021;-0.0072;-0.0018;-0.001;-0.0102;0.0429
16/05/2019;-0.0398;0.066;-0.0624;-0.0829;-0.0016;0.0089;0.0155;0.0097;0.0001;-0.0011;0.0007;-0.0024;-0.0037;-0.0013;-0.0023;-0.0076;0.0136;0.0248;0.0037;-0.0725
15/05/2019;0.026;0.1294;0.1048;0.1086;0.0034;0.0058;0.0063;0.0113;0.0008;0.002;0.0011;-0.0003;-0.0047;0;0.0002;-0.0003;0.0039;0.0007;0.0093;-0.094
14/05/2019;0.0227;0.0981;0.0396;0.2286;-0.0016;0.008;0.013;0.0114;0.0001;-0.0004;0.0003;-0.0016;-0.0041;-0.0023;-0.0028;-0.0023;0.0121;0.0319;0.0103;-0.1292
13/05/2019;0.203;0.1283;0.132;0.0802;-0.0155;-0.0244;-0.0121;-0.0347;0.0003;0.0023;0.0005;-0.001;-0.0031;0.0053;0.0059;0.0107;-0.0101;0.0126;-0.0126;0.2478
10/05/2019;0.0326;0.0166;0.0395;0.013;0.0037;0.0037;0.0031;0.0008;-0.0003;0.0004;-0.0002;0.0016;-0.0012;0.0032;-0.0016;0.0015;-0.0006;-0.008;0.0046;-0.1746
09/05/2019;0.0316;-0.0039;-0.0059;-0.0141;-0.0172;-0.003;-0.0197;-0.0041;-0.0011;0.0008;-0.0013;0.0021;0.0006;0.0052;0.0031;0.0025;-0.0068;-0.0237;-0.0071;-0.0156
08/05/2019;0.0259;0.0067;-0.0009;0.0035;-0.0064;-0.0016;0.0047;-0.0026;-0.0005;-0.0015;-0.0001;0.0001;-0.0053;-0.0008;0.0013;-0.0028;0.0117;-0.004;-0.0076;0.0041
07/05/2019;0.0143;-0.0166;-0.0039;-0.009;-0.0077;-0.0166;-0.018;-0.0198;0.0006;0.0021;0.0007;-0.0007;-0.0017;-0.0016;0.0048;0.0026;-0.0137;0.0042;-0.0059;0.2242
06/05/2019;-0.0037;0.0276;-0.0564;-0.0191;-0.0257;-0.0045;-0.0114;-0.005;0.0006;0.0014;0.0007;0.0001;-0.0058;-0.0012;0.0029;0.0016;0.005;-0.0111;0;0.1821
03/05/2019;0.0467;0.0353;0.0725;0.0163;0.0048;0.0096;0.0039;0.0157;0.0007;0.0014;0.0003;0.0023;0.0108;0.0027;0.0037;0.0066;0.0021;-0.0041;0.0036;-0.1137
02/05/2019;0.0188;0.0081;0.0016;-0.0048;-0.0012;-0.0021;-0.0073;-0.0016;-0.0003;-0.0023;0.0002;-0.0021;-0.0014;-0.0012;-0.0011;-0.0048;-0.0285;0.0051;-0.0057;-0.026
01/05/2019;0.0097;-0.0084;-0.0084;-0.0156;0.0019;-0.0075;0;-0.0057;0.0005;0.0003;0;-0.0017;0.0014;0.0011;0.0004;-0.0053;-0.0049;0.0114;-0.0144;0.1205
30/04/2019;0.0195;0.0439;0.0889;0.0503;-0.0025;0.001;0.0036;-0.0066;0.0003;0.0015;0;0.0026;0.0073;0.0004;0.0019;0.0028;0.0064;-0.0055;-0.0052;0.0008
29/04/2019;-0.0061;-0.0074;-0.0732;-0.0142;0.0045;0.0011;0.0004;0.0019;-0.0004;-0.0015;-0.0001;0.0031;0.0016;0;-0.0006;-0.0049;0.0032;-0.0077;-0.0012;0.0294
26/04/2019;0.0131;0.0122;0.0259;0.031;0.0029;0.0047;0.0024;0.0034;0.0017;0.0018;0.0018;0.0017;0.0013;0.0006;0.0003;0.007;-0.0297;0.0024;0.0011;-0.04
25/04/2019;-0.0477;-0.071;-0.0285;-0.0437;-0.0084;-0.0004;-0.0031;0.0005;-0.0004;-0.0004;-0.0011;-0.0021;-0.0002;0.0002;0.0051;0.0011;-0.0104;0.0043;-0.0084;0.0083
24/04/2019;-0.0195;-0.0333;-0.0208;-0.0607;-0.0032;-0.0022;-0.0003;-0.0023;0.0036;0.0026;0.0032;-0.0064;-0.0028;-0.0004;-0.0029;0.0026;-0.0062;-0.0125;0.0043;0.0677
23/04/2019;0.0315;-0.0024;-0.0277;-0.0084;0.0008;0.0088;0.0004;0.0131;-0.0007;0.0012;-0.0005;-0.0027;-0.0034;-0.0044;0.0007;-0.002;0.0091;-0.0058;-0.0082;-0.0113
22/04/2019;0.0179;-0.0106;-0.0705;-0.0243;-0.0033;0.0005;0.0004;0.0011;-0.0007;-0.0007;-0.0005;0.0011;-0.0008;-0.001;-0.0003;-0.0004;0.013;-0.0052;0;0.0134
19/04/2019;0.001;-0.0006;0.0061;-0.0154;0.0002;0.0005;0.0004;0.0011;-0.0007;-0.0007;-0.0005;0.0013;0.0002;0.0009;0.0007;-0.0002;0.0132;-0.0051;0;0.0136
18/04/2019;0.0088;0.0403;0.034;0.0048;-0.0019;0.0016;0.0062;0.0002;0.0034;0.0016;0.0031;-0.0059;-0.004;-0.005;0.0008;0.0014;0.0038;-0.0004;-0.0054;-0.0413
17/04/2019;0.0031;-0.004;-0.0251;0.0249;0.0001;-0.0023;0.0041;-0.0005;-0.0012;0.0002;-0.001;0.0013;-0.0004;-0.0025;-0.0006;-0.0022;-0.0045;-0.0018;0.0042;0.0339
16/04/2019;0.0327;0.0368;0.0287;0.0195;0.0092;0.0005;0.0037;0.003;-0.001;-0.0017;-0.0004;-0.002;-0.004;-0.0038;0.0002;-0.0087;0.0102;-0.0174;-0.0052;-0.0114
15/04/2019;-0.0044;-0.0194;0.0011;-0.0168;-0.0069;-0.0006;0.0008;-0.001;0;0.0005;-0.0005;0.0004;0.002;-0.0016;-0.0001;-0.0019;-0.0077;-0.0012;-0.0006;0.0255
12/04/2019;0.0049;-0.0046;-0.0091;-0.0141;0.001;0.0066;0.0036;0.0046;-0.004;-0.002;-0.0031;0.0041;0.0012;0.0008;-0.0032;-0.0016;0.0049;0.0032;0.0082;-0.0807
11/04/2019;-0.0501;-0.0691;-0.1036;-0.0695;-0.0094;0;0.0031;-0.0021;-0.0013;-0.0009;-0.0002;-0.0019;-0.0025;-0.0007;-0.0058;-0.0119;-0.0161;-0.0011;-0.0068;-0.0213
10/04/2019;0.0227;0.007;0.0182;0.0151;-0.0004;0.0035;0.0022;0.0069;0.0027;0.0012;0.0019;0.001;0.003;-0.0027;0.0011;0.003;0.0098;0.0017;-0.004;-0.0711
09/04/2019;-0.0162;-0.0233;-0.0306;-0.0248;0.0042;-0.0061;-0.0061;-0.0056;0.0006;0.0011;0.0008;0;-0.0007;-0.0009;0.0031;0.0051;-0.0065;-0.0037;-0.0003;0.0802
08/04/2019;0.049;0.0854;0.0091;-0.0099;0.0042;0.001;-0.0027;0.0019;0.0002;-0.0006;0.0002;0.0042;0.0018;0.0012;0.0021;0.0044;0.0207;-0.0039;0.0012;0.0277
05/04/2019;0.0229;0.0461;0.0426;0.0844;0.0056;0.0046;0.0016;0.0059;-0.0012;0.001;0.0003;-0.0004;-0.003;-0.0002;-0.0004;-0.0003;0.0157;-0.0085;-0.0046;-0.0576
04/04/2019;-0.0101;-0.0213;0.0007;-0.0288;-0.0001;0.0021;0.0019;-0.0005;-0.0002;0.0006;0.0012;-0.0011;-0.0062;-0.0018;-0.0016;0.0018;-0.0058;0.0054;-0.0058;-0.0117
03/04/2019;0.0189;-0.0154;0.1085;-0.0267;0.0068;0.0021;0.0117;0.006;-0.0019;-0.0016;-0.0023;0.0026;0.0023;-0.0001;-0.0016;-0.002;-0.0019;0.0054;0.0103;0.028
02/04/2019;0.16;0.145;0.2276;0.1168;0.0009;0;0.003;0.0025;0.0008;0.0008;0.0014;-0.0008;0.0019;0.0007;0.0002;0.0037;0.0159;0.0015;-0.0087;-0.003
01/04/2019;0.0145;-0.0047;-0.0102;0.0155;0.0116;0.0115;0.01;0.0128;-0.0008;-0.0037;-0.0022;-0.0004;0.0052;-0.0035;-0.0044;-0.0036;0.0238;0.0128;-0.0028;-0.0229
29/03/2019;0.0072;0.0219;0.0021;-0.0043;0.0148;0.0067;0.0094;0.0078;-0.001;-0.0009;-0.0004;-0.0003;-0.0007;0.0003;-0.0019;0.0015;0.0141;-0.0261;0.0123;-0.0512
28/03/2019;-0.0044;-0.0112;-0.0175;-0.0104;0.0047;0.0036;-0.0005;0.0034;-0.0024;-0.0007;-0.0015;-0.002;-0.0111;-0.0007;-0.0011;-0.0147;-0.0019;-0.003;-0.0013;-0.0487
27/03/2019;0.0253;0.04;0.0479;0.024;-0.0063;-0.0047;0.0008;-0.0063;0.0032;0.0021;0.0037;-0.002;-0.0017;-0.0005;0.001;-0.0047;-0.0089;-0.0072;0.0053;0.0315
26/03/2019;0.0055;0.0032;-0.0027;0.0033;0.0031;0.0072;0.0058;0.007;0.0002;0.0005;0.0002;-0.0041;0.0013;-0.002;-0.0061;-0.0047;0.0189;-0.0057;0.0029;-0.1065
25/03/2019;-0.0153;-0.0158;-0.0054;-0.0243;-0.0092;-0.0008;-0.0016;-0.0007;-0.0012;0.0023;-0.0008;0.0009;-0.0011;0.001;-0.0003;0.0062;-0.0037;0.0051;-0.0024;-0.0091
22/03/2019;-0.0013;0.0039;0.0074;-0.0038;-0.0142;-0.0192;-0.0185;-0.0254;0.0062;0.0045;0.003;-0.0064;0.0078;-0.0014;0.0081;0.0033;-0.0158;-0.0005;-0.0078;0.1899
21/03/2019;-0.0143;-0.0292;-0.0245;-0.0218;-0.0052;0.0108;-0.0015;0.0141;0.0023;0.0007;0.0028;-0.0034;-0.0069;0.0006;-0.001;-0.0024;0.0025;0.0079;-0.0116;-0.0203
20/03/2019;0.004;0.0012;0.0038;0.001;-0.0055;-0.0029;-0.0108;0.0006;0.0003;0.0035;0.0003;0.0054;-0.0053;0.0066;0.0062;0.0046;0.0135;0.0069;0.0012;0.0255
19/03/2019;0.0095;0.0082;0.006;0.0058;0.0023;-0.0001;0.0062;0.0012;-0.0002;-0.0003;-0.001;0.0013;0.001;0.002;0.0003;0.0022;-0.001;-0.0011;0.0089;0.0345
18/03/2019;0.0179;0.0121;0.0213;0.0076;0.0144;0.0037;0.0005;0.0034;0.0011;0.0003;0.0018;0.001;-0.0026;0.0009;0.0004;0.001;0.0097;-0.0072;0.0033;0.0169
15/03/2019;0.0093;0.0293;0.0417;0.0067;0.0085;0.005;0.0131;0.0075;0.0003;0.0018;0.0003;0.0019;0.0036;0.0017;0.0021;0.0048;-0.0015;0.0128;-0.0022;-0.047
14/03/2019;0.0045;0.0034;0.0116;-0.0036;-0.0026;-0.0009;0.0056;-0.0016;0.001;-0.0012;0.0004;-0.002;-0.0072;-0.0001;-0.005;-0.0099;0.006;0.0062;-0.008;0.0067
13/03/2019;-0.0006;-0.0088;-0.019;0.0125;-0.0009;0.0069;0.0059;0.0069;0.0003;-0.0003;-0.0003;0.0034;0.0199;0.0041;0.0017;0.0058;0.0241;-0.0024;0.0082;-0.0265
12/03/2019;0.001;0.0045;0.0281;-0.0028;0.0108;0.0029;-0.0001;0.0044;-0.001;0.0025;-0.0001;0.0038;-0.0057;0.0027;-0.0012;0.0063;0.0014;0.0243;0.0147;-0.0399
11/03/2019;0.0011;-0.0097;-0.0122;0.0031;0.0183;0.0146;0.0063;0.02;0.0014;-0.0005;-0.0002;0.0009;0.0103;-0.0025;-0.0004;-0.0038;0.0128;-0.0125;-0.0044;-0.1134
08/03/2019;-0.0026;-0.0212;-0.0192;-0.015;-0.0143;-0.0021;-0.0077;-0.0018;-0.0021;0.0006;0;0.0037;-0.0054;0.0032;0.0038;0.0098;-0.0105;-0.0017;-0.0027;-0.0331
07/03/2019;0.0019;-0.0055;0.025;-0.0072;-0.0156;-0.0082;-0.0048;-0.0113;0.0052;0.0028;0.0042;-0.0101;-0.0065;-0.0064;0.0017;-0.0006;0.0078;-0.0164;-0.0075;0.0526
06/03/2019;0.0019;0.007;0.0487;0.0017;0.0013;-0.0065;-0.0008;-0.0093;0.0034;0.0014;0.0025;-0.0001;-0.0006;-0.0006;0.0011;-0.0013;-0.006;-0.0163;-0.0028;0.0656
05/03/2019;0.0352;0.0757;0.1348;0.0366;0.0073;-0.0011;0.003;-0.0002;-0.0003;0.0001;0.0003;-0.0028;-0.0002;-0.0053;-0.0013;0.001;-0.0005;0.0059;0.0072;0.0075
04/03/2019;-0.0257;-0.0657;-0.0226;-0.0391;0.0081;-0.0039;0.0015;-0.0023;0.0016;0.0019;0.0013;-0.0022;-0.0017;0.0001;0.0013;-0.0052;0.0141;0.0019;-0.015;0.0752
01/03/2019;0.0012;-0.0023;0.0267;0.0071;0.0043;0.0069;0.0042;0.0083;-0.0009;-0.002;-0.0004;-0.0005;-0.0046;-0.0011;-0.0046;-0.0153;-0.0251;0.0017;0.0001;-0.0854
28/02/2019;0.001;0.0045;0.0144;0.0063;-0.0079;-0.0028;0.0047;-0.0029;-0.0009;-0.0006;-0.0005;0.0001;-0.0035;0.0035;-0.0034;-0.005;0.0049;-0.0091;0.0002;0.0054
27/02/2019;-0.0009;-0.0143;0.002;-0.0201;-0.0038;-0.0005;-0.002;0.0007;-0.0019;-0.0026;-0.0021;-0.0017;0.0043;-0.0017;-0.0038;-0.0069;0.0256;-0.003;0.0052;-0.0315
26/02/2019;-0.0073;-0.0125;-0.0157;-0.0279;-0.0048;-0.0008;0.0028;-0.0007;0.0015;0.0017;0.0003;0.0027;0.0118;0.0009;0.0043;0.001;0.0004;-0.0101;0.0022;0.0213
25/02/2019;-0.0311;-0.0642;-0.075;0.0203;0.0104;0.0012;0.0029;0.0036;0.0001;-0.0005;0.0006;0.002;0.0034;-0.0004;-0.0034;-0.0014;-0.0316;-0.0172;-0.0012;0.0946
22/02/2019;0.0129;0.0201;0.0133;0.0019;0.0115;0.0064;0.0021;0.0091;0.0016;0.002;0.0012;-0.0001;0.0008;0.0009;0.0003;0.0043;0.0053;0.0011;0.0106;-0.068
21/02/2019;-0.0115;-0.0231;-0.0523;-0.0354;0.0022;-0.0035;0.0013;-0.0039;-0.0011;-0.002;-0.0011;-0.0002;-0.0005;-0.0001;0.0012;-0.0111;0.0007;0.0118;0.0049;0.0309
20/02/2019;0.0133;0.0285;0.0789;0.0278;0.0086;0.0018;0.0062;0.0003;0.0003;-0.0003;0;-0.0003;-0.0009;0;-0.0022;-0.0019;0.0147;-0.0042;0.012;-0.0595
19/02/2019;0.008;-0.0051;-0.0038;0.0068;0.0022;0.0007;-0.0017;0.001;0.0008;0.0007;0.0004;0.0026;0.0106;0.0033;0;0.0105;0.0045;-0.0089;0.0045;-0.001
18/02/2019;0.0783;0.1795;0.1178;0.0636;0.0041;0.0007;0.0011;0.001;0.0007;0.0007;0.0005;0.0013;0.0027;0.0011;-0.0012;0.0033;0.0045;-0.0088;0.0046;-0.001
15/02/2019;0.0011;0.0058;0.0251;-0.0005;-0.0109;0.0108;0.0182;0.0061;0.0005;-0.0001;-0.0003;0.0001;0.0067;-0.0005;0;0.0075;0.0215;-0.0017;0.0102;-0.0842
14/02/2019;-0.0042;-0.0095;-0.0086;-0.0078;-0.0036;-0.0027;-0.0062;0.0009;0.0001;0.002;0.001;0.003;-0.0034;0.0042;0.0048;0.0048;0.0094;-0.0175;-0.0018;0.0358
13/02/2019;-0.0059;-0.0002;-0.0449;-0.003;0.0022;0.003;0.0036;0.0008;0.001;-0.001;0.0009;-0.0058;-0.0036;-0.0028;-0.0047;-0.0035;0.015;0.0028;0.0002;0.0142
12/02/2019;0.0014;0.0104;0.0172;0.0081;0.0077;0.0128;0.0079;0.0145;-0.0006;-0.0007;-0.0002;0.0044;0.0029;-0.0025;-0.001;0.002;0.0131;0.0093;-0.0094;-0.0344
11/02/2019;-0.005;0.0169;-0.0065;-0.0291;0.0002;0.0007;0.0095;0.0013;-0.0007;-0.0012;-0.0002;-0.0042;-0.0069;-0.0032;-0.0056;-0.0047;-0.0059;-0.0039;-0.0083;0.0158
08/02/2019;0.0757;0.1318;0.2687;0.0665;-0.0027;0.0007;-0.0048;0.0014;0.0007;0.001;0.0002;-0.0016;-0.0006;0.0016;0.0004;0.0032;0.0015;-0.0005;-0.0085;-0.0405
